symbol,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,screener_price,drift_pct,status
WBD,26.3000,10.7600,30.0000,80.77,-12.33,144.42,26.3000,0.00,ok
APD,294.8900,229.1100,314.8700,76.70,-6.35,28.71,294.8900,0.00,ok
TGT,144.4900,83.4400,147.7700,94.90,-2.22,73.17,144.4900,0.00,ok
HONA,206.7400,192.0300,297.5000,13.95,-30.51,7.66,206.7400,0.00,ok
GWW,1382.2200,906.5200,1419.9100,92.66,-2.65,52.48,1382.2200,0.00,ok
AFL,127.4800,97.4700,130.2200,91.63,-2.10,30.79,127.4800,0.00,ok
RSG,210.5500,196.4100,238.6200,33.50,-11.76,7.20,210.5500,0.00,ok
TFC,51.8400,40.7800,56.2000,71.73,-7.76,27.12,51.8400,0.00,ok
AJG,249.4200,190.7500,313.5500,47.78,-20.45,30.76,249.4200,0.00,ok
HPE,47.9000,19.6350,64.2500,63.35,-25.45,143.95,47.9000,0.00,ok
NKE,41.7100,40.0000,80.1700,4.26,-47.97,4.28,41.7100,0.00,ok
MET,96.1300,67.3300,97.8000,94.52,-1.71,42.77,96.1300,0.00,ok
FIX,1729.6900,655.9600,2073.9900,75.72,-16.60,163.69,1729.6900,0.00,ok
D,69.1700,55.8500,72.9900,77.71,-5.23,23.85,69.1700,0.00,ok
