symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSM,TAIWAN SEMICONDUCTOR-SP ADR,NYSE,446.6100,266.8200,479.0000,84.73,-6.76,67.38,445.1400,0.33,227164289.94,ARKK|ARKQ|ARKW|ARKX,ok
RKLB,ROCKET LAB,NASDAQ,71.3300,37.5700,151.0000,29.76,-52.76,89.86,69.8900,2.06,224650502.16,ARKK|ARKQ|ARKX,ok
ILMN,ILLUMINA INC,NASDAQ,246.0500,88.0000,250.0600,97.53,-1.60,179.60,238.8200,3.03,198962613.74,ARKG|ARKK,ok
NTRA,NATERA INC,NASDAQ,387.2000,157.4250,389.0000,99.22,-0.46,145.96,370.6400,4.47,197733474.88,ARKG|ARKK,ok
NET,CLOUDFLARE INC - CLASS A,NYSE,351.6700,158.8300,353.8060,98.90,-0.60,121.41,351.6700,0.00,190008707.68,ARKF|ARKK|ARKW,ok
ACHR,ARCHER AVIATION INC-A,NYSE,5.6450,4.3000,14.6200,13.03,-61.39,31.28,5.4300,3.96,186675559.08,ARKK|ARKQ|ARKX,ok
WGS,GENEDX HOLDINGS CORP,NASDAQ,89.4200,32.2100,170.8700,41.26,-47.67,177.62,97.8300,-8.60,178591697.73,ARKG|ARKK,ok
RXRX,RECURSION PHARMACEUTICALS-A,NASDAQ,3.9850,2.7700,7.1800,27.55,-44.50,43.86,3.9700,0.38,166321482.60,ARKG|ARKK,ok
NTLA,INTELLIA THERAPEUTICS INC,NASDAQ,12.6200,7.9500,28.2500,23.00,-55.33,58.74,12.2200,3.27,152892448.54,ARKG|ARKK,ok
XE,X-ENERGY INC,NASDAQ,16.5550,13.2900,37.1000,13.71,-55.38,24.57,16.3700,1.13,138299816.90,ARKK|ARKQ|ARKX,ok
LLY,ELI LILLY & CO,NYSE,1167.0100,712.0500,1292.6500,78.36,-9.72,63.89,1164.8900,0.18,122178322.76,ARKG|ARKK,ok
BWXT,BWX TECHNOLOGIES INC,NYSE,145.9400,143.5250,241.8200,2.46,-39.65,1.68,147.4700,-1.04,118792541.39,ARKK|ARKQ|ARKX,ok
VCYT,VERACYTE INC,NASDAQ,42.8750,29.4550,60.9100,42.66,-29.61,45.56,41.5200,3.26,114120252.72,ARKG|ARKK,ok
PSNL,PERSONALIS INC,NASDAQ,16.3000,4.9550,18.8900,81.41,-13.71,228.96,16.2400,0.37,111148817.36,ARKG,ok
LHX,L3HARRIS TECHNOLOGIES INC,NYSE,240.5700,239.9400,379.2300,0.45,-36.56,0.26,246.9300,-2.58,106450288.35,ARKQ|ARKX|PRNT,ok
ABSI,ABSCI CORP,NASDAQ,10.7150,2.2400,12.0550,86.35,-11.12,378.35,9.8200,9.11,105283411.50,ARKG,ok
DE,DEERE & CO,NYSE,693.9800,433.0000,705.8800,95.64,-1.69,60.27,684.7300,1.35,103277141.17,ARKQ|ARKX,ok
GH,GUARDANT HEALTH INC,NASDAQ,177.9800,55.3800,183.5100,95.68,-3.01,221.38,173.8700,2.36,102634765.52,ARKG,ok
AVAV,AEROVIRONMENT INC,NASDAQ,158.0500,135.2000,417.8600,8.08,-62.18,16.90,160.9000,-1.77,97964930.40,ARKQ|ARKX,ok
CDNA,CAREDX INC,NASDAQ,55.8600,13.9500,55.8950,99.92,-0.06,300.43,54.3300,2.82,82841732.04,ARKG,ok
DASH,DOORDASH INC - A,NASDAQ,195.0950,143.3000,285.5000,36.42,-31.67,36.14,193.8300,0.65,74707315.41,ARKF|ARKQ|ARKW|ARKX,ok
SOFI,SOFI TECHNOLOGIES INC,NASDAQ,17.1950,14.8800,32.7300,12.97,-47.46,15.56,16.9700,1.33,71690681.38,ARKF|ARKK,ok
CMPS,COMPASS PATHWAYS PLC,NASDAQ,14.8200,4.8800,15.8700,90.45,-6.62,203.69,15.0100,-1.27,69825454.29,ARKG,ok
SDGR,SCHRODINGER INC,NASDAQ,30.9190,10.9450,31.5950,96.73,-2.14,182.49,30.2400,2.25,68803529.76,ARKG,ok
TRMB,TRIMBLE INC,NASDAQ,58.7300,47.9200,84.4200,29.62,-30.43,22.56,57.7500,1.70,65822930.25,ARKQ|ARKX,ok
RBLX,ROBLOX CORP -CLASS A,NYSE,50.3000,33.8800,142.0000,15.19,-64.58,48.47,51.2500,-1.85,60143258.75,ARKF|ARKW,ok
CRWD,CROWDSTRIKE HOLDINGS INC - A,NASDAQ,246.3250,85.6800,250.3200,97.57,-1.60,187.49,249.3500,-1.21,59171004.35,ARKF|ARKW,ok
TOST,TOAST INC-CLASS A,NYSE,29.8450,22.2600,39.7250,43.43,-24.87,34.07,29.8000,0.15,55961688.20,ARKF|ARKW,ok
LUNR,INTUITIVE MACHINES INC,NASDAQ,15.6950,7.7800,46.7500,20.31,-66.43,101.74,15.7200,-0.16,54920964.00,ARKQ|ARKX,ok
CERS,CERUS CORP,NASDAQ,2.5750,1.3800,3.4700,57.18,-25.79,86.59,2.5600,0.59,51733532.16,ARKG|ARKK,ok
ADPT,ADAPTIVE BIOTECHNOLOGIES,NASDAQ,27.7950,12.0000,28.7800,94.13,-3.42,131.62,27.8600,-0.23,51527682.92,ARKG,ok
MELI,MERCADOLIBRE INC,NASDAQ,1824.3850,1495.0000,2548.5000,31.27,-28.41,22.03,1820.4700,0.22,44971070.41,ARKF|ARKW,ok
NRIX,NURIX THERAPEUTICS INC,NASDAQ,25.6700,8.1950,28.2300,87.22,-9.07,213.24,25.4100,1.02,44541443.10,ARKG,ok
DDOG,DATADOG INC - CLASS A,NASDAQ,244.9750,98.0100,292.7200,75.48,-16.31,149.95,245.0500,-0.03,42772007.20,ARKW,ok
ARCT,ARCTURUS THERAPEUTICS HOLDIN,NASDAQ,14.0600,5.5000,24.1700,45.85,-41.83,155.64,14.6900,-4.29,41963263.03,ARKG,ok
BFLY,BUTTERFLY NETWORK INC,NYSE,9.5400,1.8650,10.0500,93.77,-5.07,411.53,8.1400,17.20,40470313.62,ARKG,ok
IONS,IONIS PHARMACEUTICALS INC,NASDAQ,45.2300,44.2000,86.7400,2.42,-47.86,2.33,44.9000,0.73,39672203.20,ARKG,ok
PACB,PACIFIC BIOSCIENCES OF CALIF,NASDAQ,1.4550,1.0700,2.7300,23.19,-46.70,35.98,1.3600,6.99,38875323.92,ARKG|ARKK,ok
RBRK,RUBRIK INC-A,NYSE,110.4600,42.2500,113.9500,95.13,-3.06,161.44,112.9600,-2.21,38072716.16,ARKW,ok
JOBY,JOBY AVIATION INC,NYSE,6.3700,5.9300,19.9800,3.13,-68.12,7.42,6.4100,-0.62,36258120.13,ARKQ|ARKX,ok
