cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
G16910120,BLSH,BULLISH,equity,6217254,165192438.78,3,ARKF|ARKK|ARKW,"{""ARKK"":4470433.0,""ARKW"":971402.0,""ARKF"":775419.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,28702630,154133123.10,3,ARKK|ARKQ|ARKX,"{""ARKK"":14150203.0,""ARKQ"":9089013.0,""ARKX"":5463414.0}"
773121108,RKLB UQ,ROCKET LAB,equity,1534235,142821936.15,2,ARKQ|ARKX,"{""ARKQ"":942940.0,""ARKX"":591295.0}"
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,34455663,136444425.48,2,ARKG|ARKK,"{""ARKK"":20947576.0,""ARKG"":13508087.0}"
11135F101,AVGO,BROADCOM INC,equity,362532,135550714.80,3,ARKK|ARKQ|ARKW,"{""ARKK"":185800.0,""ARKQ"":84486.0,""ARKW"":92246.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,665294,127743100.94,2,ARKK|ARKW,"{""ARKK"":523759.0,""ARKW"":141535.0}"
502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,420318,126629203.86,3,ARKQ|ARKX|PRNT,"{""ARKQ"":208257.0,""ARKX"":208913.0,""PRNT"":3148.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,8007042,124509503.10,3,ARKF|ARKK|ARKW,"{""ARKK"":5755365.0,""ARKW"":1488091.0,""ARKF"":763586.0}"
92337F107,VCYT,VERACYTE INC,equity,2034624,117998018.88,2,ARKG|ARKK,"{""ARKK"":1094852.0,""ARKG"":939772.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,194409,116701778.61,3,ARKF|ARKK|ARKW,"{""ARKK"":102808.0,""ARKW"":56084.0,""ARKF"":35517.0}"
00091E109,ABSI,ABSCI CORP,equity,10016045,115585159.30,1,ARKG,"{""ARKG"":10016045.0}"
71535D106,PSNL,PERSONALIS INC,equity,7852444,112604046.96,1,ARKG,"{""ARKG"":7852444.0}"
05605H100,BWXT,BWX TECHNOLOGIES INC,equity,520178,102417846.42,3,ARKK|ARKQ|ARKX,"{""ARKK"":267724.0,""ARKQ"":176879.0,""ARKX"":75575.0}"
008073108,AVAV,AEROVIRONMENT INC,equity,564918,99900099.12,2,ARKQ|ARKX,"{""ARKQ"":322233.0,""ARKX"":242685.0}"
81663L200,WGS,GENEDX HOLDINGS CORP,equity,1365551,94072808.39,2,ARKG|ARKK,"{""ARKK"":916927.0,""ARKG"":448624.0}"
532457108,LLY,ELI LILLY & CO,equity,69636,83567378.16,2,ARKG|ARKK,"{""ARKK"":29712.0,""ARKG"":39924.0}"
40131M109,GH,GUARDANT HEALTH INC,equity,485817,82015625.94,1,ARKG,"{""ARKG"":485817.0}"
98386P102,XE,X-ENERGY INC,equity,4448896,81503774.72,3,ARKK|ARKQ|ARKX,"{""ARKK"":2941831.0,""ARKQ"":998333.0,""ARKX"":508732.0}"
MM0051EWE,,ARK BITCOIN ETF HOLDCO (ARKW),bitcoin_holdco,3775474,79775388.07,1,ARKW,"{""ARKW"":3775474.0}"
25809K105,DASH,DOORDASH INC - A,equity,374921,70657611.66,4,ARKF|ARKQ|ARKW|ARKX,"{""ARKQ"":147838.0,""ARKW"":92280.0,""ARKF"":58717.0,""ARKX"":76086.0}"
22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,equity,330760,65946928.80,2,ARKF|ARKW,"{""ARKW"":242100.0,""ARKF"":88660.0}"
896239100,TRMB,TRIMBLE INC,equity,1252049,65695011.03,2,ARKQ|ARKX,"{""ARKQ"":757481.0,""ARKX"":494568.0}"
83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,3516069,65434044.09,2,ARKF|ARKK,"{""ARKK"":2333726.0,""ARKF"":1182343.0}"
833445109,SNOW,SNOWFLAKE INC,equity,231831,60760586.79,2,ARKK|ARKW,"{""ARKK"":158750.0,""ARKW"":73081.0}"
46269C102,IRDM,IRIDIUM COMMUNICATIONS INC,equity,1121541,58981841.19,2,ARKQ|ARKX,"{""ARKQ"":520931.0,""ARKX"":600610.0}"
888787108,TOST,TOAST INC-CLASS A,equity,1859887,54829468.76,2,ARKF|ARKW,"{""ARKW"":702506.0,""ARKF"":1157381.0}"
316841105,FIG,FIGMA INC-CL A,equity,2572907,54236879.56,2,ARKK|ARKW,"{""ARKK"":1586128.0,""ARKW"":986779.0}"
149123101,CAT,CATERPILLAR INC,equity,55674,53999326.08,1,ARKQ,"{""ARKQ"":55674.0}"
14167L103,CDNA,CAREDX INC,equity,1839057,53442996.42,1,ARKG,"{""ARKG"":1839057.0}"
G65163100,JOBY,JOBY AVIATION INC,equity,5985279,53388688.68,2,ARKQ|ARKX,"{""ARKQ"":3443638.0,""ARKX"":2541641.0}"
157085101,CERS,CERUS CORP,equity,15916146,52204958.88,2,ARKG|ARKK,"{""ARKK"":8666170.0,""ARKG"":7249976.0}"
46125A100,LUNR,INTUITIVE MACHINES INC,equity,2633847,49753369.83,2,ARKQ|ARKX,"{""ARKQ"":1772853.0,""ARKX"":860994.0}"
M3760D101,ESLT,ELBIT SYSTEMS LTD,equity,59973,48638702.73,2,ARKQ|ARKX,"{""ARKQ"":40779.0,""ARKX"":19194.0}"
02079K305,GOOGL,ALPHABET INC-CL A,equity,125111,45848177.06,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":89860.0,""ARKQ"":16264.0,""ARKW"":12041.0,""ARKX"":6946.0}"
23804L103,DDOG,DATADOG INC - CLASS A,equity,176258,45011005.46,1,ARKW,"{""ARKW"":176258.0}"
MM005473T,,ARK BITCOIN ETF HOLDCO (ARKF),bitcoin_holdco,2096992,44301052.99,1,ARKF,"{""ARKF"":2096992.0}"
00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES,equity,1995707,42907700.50,1,ARKG,"{""ARKG"":1995707.0}"
20451W101,CMPS,COMPASS PATHWAYS PLC,equity,3247923,41703331.32,1,ARKG,"{""ARKG"":3247923.0}"
67080M103,NRIX,NURIX THERAPEUTICS INC,equity,1688306,40586876.24,1,ARKG,"{""ARKG"":1688306.0}"
69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,equity,24070269,39956646.54,2,ARKG|ARKK,"{""ARKK"":13400490.0,""ARKG"":10669779.0}"
58733R102,MELI,MERCADOLIBRE INC,equity,22044,39804409.92,2,ARKF|ARKW,"{""ARKW"":8544.0,""ARKF"":13500.0}"
124155102,BFLY,BUTTERFLY NETWORK INC,equity,4788542,39409700.66,1,ARKG,"{""ARKG"":4788542.0}"
500458401,KMTUY,KOMATSU LTD -SPONS ADR,equity,922519,38505943.06,1,ARKQ,"{""ARKQ"":922519.0}"
051774107,AUR,AURORA INNOVATION INC,equity,5381523,36540541.17,1,ARKQ,"{""ARKQ"":5381523.0}"
18915M107,NET,CLOUDFLARE INC - CLASS A,equity,142622,35306076.10,1,ARKW,"{""ARKW"":142622.0}"
879360105,TDY,TELEDYNE TECHNOLOGIES INC,equity,53514,35050599.72,2,ARKQ|ARKX,"{""ARKQ"":35235.0,""ARKX"":18279.0}"
80810D103,SDGR,SCHRODINGER INC,equity,2050172,34852924.00,1,ARKG,"{""ARKG"":2050172.0}"
77543R102,ROKU,ROKU INC,equity,239057,34008248.82,3,ARKF|ARKK|ARKW,"{""ARKK"":174.0,""ARKW"":123630.0,""ARKF"":115253.0}"
13321L108,CCJ,CAMECO CORP,equity,337425,32898937.50,1,ARKQ,"{""ARKQ"":337425.0}"
871607107,SNPS,SYNOPSYS INC,equity,72782,32189295.14,3,ARKQ|ARKX|PRNT,"{""ARKQ"":45429.0,""ARKX"":20756.0,""PRNT"":6597.0}"
26142V105,DKNG UW,DRAFTKINGS INC-CL A,equity,1227263,32166563.23,2,ARKF|ARKW,"{""ARKW"":646665.0,""ARKF"":580598.0}"
056752108,BIDU,BAIDU INC - SPON ADR,equity,272604,31183171.56,1,ARKQ,"{""ARKQ"":272604.0}"
L8681T102,SPOT,SPOTIFY TECHNOLOGY SA,equity,63023,30440739.23,2,ARKF|ARKW,"{""ARKW"":37109.0,""ARKF"":25914.0}"
87151X101,SYM UQ,SYMBOTIC INC,equity,682088,30325632.48,1,ARKQ,"{""ARKQ"":682088.0}"
781154109,RBRK,RUBRIK INC-A,equity,325766,28458917.76,1,ARKW,"{""ARKW"":325766.0}"
6496584,6301,KOMATSU LTD,equity,654893,27275589.23,1,ARKX,"{""ARKX"":654893.0}"
46120E602,ISRG,INTUITIVE SURGICAL INC,equity,61883,26784818.89,1,ARKQ,"{""ARKQ"":61883.0}"
74624M102,P,EVERPURE INC-A,equity,323559,25150241.07,1,ARKW,"{""ARKW"":323559.0}"
462222100,IONS,IONIS PHARMACEUTICALS INC,equity,282314,23482878.52,1,ARKG,"{""ARKG"":282314.0}"
X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,21908644,21908644.59,8,ARKF|ARKG|ARKK|ARKQ|ARKW|ARKX|IZRL|PRNT,"{""ARKK"":3738018.0,""ARKQ"":11579888.0,""ARKW"":715995.0,""ARKG"":3067891.0,""ARKF"":1553164.0,""ARKX"":753567.0,""PRNT"":374261.0,""IZRL"":125860.0}"
009066101,ABNB,AIRBNB INC-CLASS A,equity,148320,21899448.00,2,ARKF|ARKW,"{""ARKW"":62758.0,""ARKF"":85562.0}"
04650F101,ATAI UQ,ATAIBECKLEY INC,equity,4292521,21290904.16,1,ARKG,"{""ARKG"":4292521.0}"
010911105,ALMR,ALAMAR BIOSCIENCES INC,equity,803838,20626483.08,1,ARKG,"{""ARKG"":803838.0}"
37637K108,GTLB,GITLAB INC-CL A,equity,618161,20306588.85,1,ARKW,"{""ARKW"":618161.0}"
G3934V109,GENI,GENIUS SPORTS LTD,equity,3065770,20295397.40,1,ARKW,"{""ARKW"":3065770.0}"
03969T109,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,equity,2751311,20222135.85,1,ARKG,"{""ARKG"":2751311.0}"
950915108,WRD,WERIDE INC-ADR,equity,3453711,19444392.93,1,ARKQ,"{""ARKQ"":3453711.0}"
74168J101,PRME,PRIME MEDICINE INC,equity,4824612,19250201.88,1,ARKG,"{""ARKG"":4824612.0}"
02156V109,OKLO,OKLO INC,equity,370029,19182303.36,1,ARKQ,"{""ARKQ"":370029.0}"
500081104,KDK,KODIAK AI INC,equity,3424776,18219808.32,1,ARKQ,"{""ARKQ"":3424776.0}"
05606L100,BYDDY,BYD CO LTD-UNSPONSORED ADR,equity,1711030,18188248.90,1,ARKQ,"{""ARKQ"":1711030.0}"
422806109,HEI,HEICO CORP,equity,47374,17306195.94,1,ARKX,"{""ARKX"":47374.0}"
370920100,GENB,GENERATE BIOMEDICINES INC,equity,1022779,17305420.68,1,ARKG,"{""ARKG"":1022779.0}"
